feature,max_abs_lagcorr,pass_lagcorr,cohens_d,abs_d,pass_effect,mutual_info,rank_mi,pass_mi,pass_count
tp_region_mean_mm,0.5894760584474177,True,2.1917336298772874,2.1917336298772874,True,0.0137039482537199,1.0,True,3
tcc_region,0.41184040301449665,True,0.5381021411176643,0.5381021411176643,True,0.0015004405718629377,2.0,True,3
t2m_region,0.6084471325853635,True,0.14957059516005305,0.14957059516005305,False,0.00045838997588654173,3.0,True,2
u_region,0.5691453459927904,True,-0.11535343051159377,0.11535343051159377,False,0.0,4.0,False,1
r_region,0.5207459243704988,True,0.062131448694777595,0.062131448694777595,False,0.0,4.0,False,1
